№ п/п,раздел товара,группа товара,подкаталог,наименование,артикул,цена
,,,,* ARTISTRY YOUTH XTEND Комплексная система по уходу за кожей (с лосьонами),253579,"5 485,24"
,,,,* ARTISTRY™ YOUTH XTEND™ Лосьон с эффектом смягчения кожи,113802,"1 025,51"
,,,,* ARTISTRY™ YOUTH XTEND™ Концентрированная сыворотка с эффектом восстановления кожи,113809,"1 922,83"
,,,,* ARTISTRY™ YOUTH XTEND™ Пенка для умывания лица с эффектом питания кожи,113801,"1 025,51"
,,,,* ARTISTRY™YOUTH XTEND™ Питательный лосьон,113804,"1 538,27"
,,,,* ARTISTRY™ YOUTH XTEND™ Питательный крем,113808,"1 538,27"
,,,,* ARTISTRY™ YOUTH XTEND™ Защитный лосьон с солнцезащитным фильтром SPF 15,113803,"1 479,96"
,,,,* ARTISTRY™ YOUTH XTEND™ Защитный крем с солнцезащитным фильтром SPF 15,113807,"1 479,96"
,,,,* ARTISTRY™ YOUTH XTEND™ Питательный крем для кожи вокруг глаз,113810,"1 153,74"
,,,,* Сыворотка для кожи лица – интенсивное восстановление «14 ночей»,116396,"5 177,49"
,,,,* ARTISTRY intensive skincare Восстанавливающий пилинг,107998,"1 733,99"
,,,,* ARTISTRY essentials Шлифовальный скраб для лица,106399,"537,98"
,,,,* ARTISTRY essentials Успокаивающий крем,104135,"521,05"
,,,,* ARTISTRY essentials Увлажняющий тоник,104127,"386,60"
,,,,* ARTISTRY essentials Увлажняющий лосьон,104128,"521,05"
,,,,* ARTISTRY essentials Увлажняющий гель для умывания,104126,"386,60"
,,,,* ARTISTRY essentials Увлажняющее средство для лица,104133,"631,02"
,,,,* ARTISTRY essentials Увлажняющая система,105489,"1 164,86"
,,,,* ARTISTRY essentials Очищающая маска для пор кожи лица,106400,"537,98"
,,,,* ARTISTRY essentials Мини система для увлажнения кожи лица,232828,"481,11"
,,,,* ARTISTRY essentials Лосьон для поддержания баланса кожи,104131,"521,05"
,,,,* ARTISTRY essentials Интенсивная увлажняющая маска,106401,"537,98"
,,,,* ARTISTRY essentials Гель от прыщей и раздражений кожи,104134,"544,19"
,,,,* ARTISTRY essentials Восстанавливающий крем для глаз,105531,"571,91"
,,,,* Косметическое средство для кожи вокруг глаз ARTISTRY™ Creme LuXury,109698,"2 762,24"
,,,,"* ARTISTRY essentials Сыворотка ""Альфа Гидроксид Плюс""",107992,"802,62"
,,,,* ARTISTRY Crème LuXury,103564,"5 930,25"
,,,,* ARTISTRY essentials Система поддержания баланса кожи,105487,"1 164,86"
,,,,* ARTISTRY intensive skincare Сыворотка для подтяжки кожи лица с антивозрастным эффектом,109709,"2 607,50"
,,,,* ARTISTRY essentials Тоник для поддержания баланса кожи,104130,"386,60"
,,,,* ARTISTRY essentials Пенка для очищения нормальной и жирной кожи,104129,"386,60"
,,,,* ARTISTRY essentials Мини система для поддержания баланса кожи,232782,"481,11"
,,,,,,
,,* декоративная косметика,,,,
,,,"* пудры, тональные крема",,,
,,,,* ARTISTRY EXACT FIT™ Набор из компактной пудры и футляра,,
,,,,L1*N1 Bisque,259917,"883,74"
,,,,L1*W2 Buff,259918,"883,74"
,,,,L1*W2 Cream,259919,"883,74"
,,,,L2*C1 Chiffon,259920,"883,74"
,,,,L2*N1 Ochre,259921,"883,74"
,,,,L2*W1 Sand,259922,"883,74"
,,,,L3*N1 Tawny,259923,"883,74"
,,,,L2*N2 Natural,121075,"883,74"
,,,,"* ARTISTRY EXACT FIT™ Прозрачная компактная пудра, набор",121066,"883,74"
,,,,"* ARTISTRY EXACT FIT™ Компактная пудра, вкладыш",,
,,,,L1*N1 Bisque,116725,"533,28"
,,,,L1*W2 Buff,116726,"533,28"
,,,,L1*W2 Cream,116727,"533,28"
,,,,L2*C1 Chiffon,116728,"533,28"
,,,,L2*N1 Ochre,116729,"533,28"
,,,,L2*W1 Sand,116731,"533,28"
,,,,L3*N1 Tawny,116733,"533,28"
,,,,L2*N2 Natural,116730,"533,28"
,,,,* ARTISTRY™ Компактная пудра с эффектом 3D – Shimmering Nudes,119784,"519,70"
,,,,* ARTISTRY EXACT FIT™ Безупречная рассыпчатая пудра,,
,,,,light,116694,"815,75"
,,,,medium,116695,"815,75"
,,,,"* ARTISTRY EXACT FIT™ Прозрачная компактная пудра, вкладыш",116744,"533,28"
,,,,* ARTISTRY EXACT FIT™ Стойкий тональный крем,,
,,,,L1*N1,117688,"770,89"
,,,,L1*W1,117689,"770,89"
,,,,L2*C1,117691,"770,89"
,,,,L1*W2,117690,"770,89"
,,,,L2*N1,117692,"770,89"
,,,,L2*N2,117693,"770,89"
,,,,L2*W1,117694,"770,89"
,,,,L3*C1,117695,"770,89"
,,,,L3*N1,117696,"770,89"
